Date;Event Type;Event Details;Check Point;Tour ID;Guard Name;Image | Audio | Video
06/08/2022 18:14;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;157;Security 1 (40e0d01078);|  |
06/08/2022 18:14;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;157;Security 1 (40e0d01078);|  |
06/08/2022 18:14;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;157;Security 1 (40e0d01078);|  |
06/08/2022 18:13;MME;;303958 - CP1-BF;157;Security 1 (40e0d01078);? |  |
06/08/2022 18:12;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;157;Security 1 (40e0d01078);|  |
06/08/2022 18:10;MME;;303974 - CP2-BF;157;Security 1 (40e0d01078);? |  |
06/08/2022 18:10;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;157;Security 1 (40e0d01078);|  |
06/08/2022 18:09;START;;;157;Security 1 (40e0d01078);|  |
06/08/2022 17:00;MISSEDSCAN;Schedule: 13753655 - BF-4pm Loose Schedule;304781 - CP9-BF;0;Security 1 (40e0d01078);|  |
06/08/2022 16:17;FINISH;;;156;Security 1 (40e0d01078);|  |
06/08/2022 16:16;MME;;303957 - CP5-BF;156;Security 1 (40e0d01078);? |  |
06/08/2022 16:16;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;156;Security 1 (40e0d01078);|  |
06/08/2022 16:15;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;156;Security 1 (40e0d01078);|  |
06/08/2022 16:10;MME;;303958 - CP1-BF;156;Security 1 (40e0d01078);? |  |
06/08/2022 16:10;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;156;Security 1 (40e0d01078);|  |
06/08/2022 16:08;MME;;303974 - CP2-BF;156;Security 1 (40e0d01078);? |  |
06/08/2022 16:08;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;156;Security 1 (40e0d01078);|  |
06/08/2022 16:05;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;156;Security 1 (40e0d01078);|  |
06/08/2022 16:04;START;;;156;Security 1 (40e0d01078);|  |
06/08/2022 15:00;MISSEDSCAN;Schedule: 13753313 - BF-2pm Loose Schedule;304781 - CP9-BF;0;Security 1 (40e0d01078);|  |
06/08/2022 14:17;FINISH;;;155;Security 1 (40e0d01078);|  |
06/08/2022 14:17;MME;;303957 - CP5-BF;155;Security 1 (40e0d01078);? |  |
